jumlah blok,blok rusak,waktu,status
201,2,1.2181663513183594,Success
201,3,0.8076424598693848,Success
201,4,0.7926802635192871,Success
201,5,0.6096911430358887,Success
201,6,0.7919559478759766,Success
201,7,0.6124649047851562,Success
201,8,1.8781325817108154,Success
201,9,1.1631925106048584,Success
201,10,1.293097972869873,Success
201,11,1.0134234428405762,Success
201,12,1.9308662414550781,Success
201,13,1.1248295307159424,Success
201,14,1.5584931373596191,Success
201,15,1.4149672985076904,Success
201,16,1.4556403160095215,Success
201,17,0.7176225185394287,Success
201,18,0.6942989826202393,Success
201,19,1.4477770328521729,Success
201,20,1.7280092239379883,Success
201,21,1.4030449390411377,Success
201,22,1.261976957321167,Success
201,23,1.4298315048217773,Success
201,24,1.1993238925933838,Success
201,25,1.1561379432678223,Success
201,26,0.8209059238433838,Success
201,27,0.8340873718261719,Success
201,28,0.9569354057312012,Success
201,29,1.164018154144287,Success
201,30,2.1997361183166504,Success
201,31,0.9470257759094238,Success
201,32,0.8778998851776123,Success
201,33,1.0132615566253662,Success
201,34,1.7259962558746338,Success
201,35,1.554849624633789,Success
201,36,1.0093774795532227,Success
201,37,1.1427154541015625,Success
201,38,0.8732974529266357,Success
201,39,1.5778083801269531,Success
201,40,0.8379862308502197,Success
201,41,0.8361079692840576,Success
201,42,1.0897021293640137,Success
201,43,0.8596174716949463,Success
201,44,0.7948222160339355,Success
201,45,0.9257364273071289,Success
201,46,0.9196467399597168,Success
201,47,1.2407197952270508,Success
201,48,0.7919385433197021,Success
201,49,1.2376480102539062,Success
201,50,1.47145414352417,Success
201,51,1.0448391437530518,Success
201,52,1.1046812534332275,Success
201,53,1.123901605606079,Success
201,54,1.0851843357086182,Success
201,55,1.5645051002502441,Success
201,56,2.0493216514587402,Success
201,57,1.618744134902954,Success
201,58,1.427347183227539,Success
201,59,3.717801332473755,Success
201,60,1.5517396926879883,Success
201,61,1.5463523864746094,Success
201,62,1.6555125713348389,Success
201,63,1.7451462745666504,Success
201,64,1.7998452186584473,Success
201,65,1.6557857990264893,Success
201,66,1.615097999572754,Success
201,67,1.3848419189453125,Success
201,68,1.2713279724121094,Success
201,69,2.17616868019104,Success
201,70,1.6630282402038574,Success
201,71,1.2517602443695068,Success
201,72,0.9590349197387695,Success
201,73,0.8999614715576172,Success
201,74,0.8890876770019531,Success
201,75,0.9785478115081787,Success
201,76,1.0247180461883545,Success
201,77,0.9831540584564209,Success
201,78,0.9504444599151611,Success
201,79,0.8167684078216553,Success
201,80,0.8070333003997803,Success
201,81,0.8204464912414551,Success
201,82,0.8511548042297363,Success
201,83,0.7841687202453613,Success
201,84,0.8347251415252686,Success
201,85,0.9252169132232666,Success
201,86,0.7679963111877441,Success
201,87,0.8206913471221924,Success
201,88,1.5669276714324951,Success
201,89,2.8533284664154053,Success
201,90,2.0284993648529053,Success
201,91,1.991119623184204,Success
201,92,1.7282872200012207,Success
201,93,1.5827159881591797,Success
201,94,2.6859607696533203,Success
201,95,3.019148111343384,Success
201,96,2.2563934326171875,Success
201,97,2.38995623588562,Success
201,98,3.250281572341919,Success
201,99,2.755547523498535,Success
201,100,1.8313791751861572,Success
201,101,2.076218843460083,Success
201,102,1.37199068069458,Success
201,103,1.6409692764282227,Success
201,104,1.2947516441345215,Success
201,105,1.9330296516418457,Success
201,106,1.1186861991882324,Success
201,107,2.0931718349456787,Success
201,108,2.2292449474334717,Success
201,109,2.9971988201141357,Success
201,110,2.027726650238037,Success
201,111,1.3160183429718018,Success
201,112,1.66811203956604,Success
201,113,2.5526645183563232,Success
201,114,2.4973907470703125,Success
201,115,2.4998631477355957,Success
201,116,2.761681079864502,Success
201,117,1.5323388576507568,Success
201,118,1.5337958335876465,Success
201,119,1.1613550186157227,Success
201,120,1.3610780239105225,Success
201,121,1.3849647045135498,Success
201,122,3.9115402698516846,Success
201,123,1.9244987964630127,Success
201,124,1.61790132522583,Success
201,125,1.2110648155212402,Success
201,126,1.016056776046753,Success
201,127,1.2935519218444824,Success
201,128,1.2172338962554932,Success
201,129,1.1608726978302002,Success
201,130,1.305696964263916,Success
201,131,1.3738410472869873,Success
201,132,1.5202970504760742,Success
201,133,1.8988497257232666,Success
201,134,1.2789194583892822,Success
201,135,1.7836241722106934,Success
201,136,1.8497211933135986,Success
201,137,2.1994152069091797,Success
201,138,1.810962200164795,Success
201,139,1.4690701961517334,Success
201,140,1.4625256061553955,Success
201,141,1.448592185974121,Success
201,142,1.5536623001098633,Success
201,143,2.069570779800415,Success
201,144,3.607383966445923,Success
201,145,1.3869733810424805,Success
201,146,1.1693739891052246,Success
201,147,1.257755994796753,Success
201,148,1.2808380126953125,Success
201,149,1.5968742370605469,Success
201,150,1.6175899505615234,Success
201,151,2.026888608932495,Success
201,152,3.0231223106384277,Success
201,153,1.1081862449645996,Success
201,154,1.1394083499908447,Success
201,155,0.861757755279541,Success
201,156,1.2458813190460205,Success
201,157,1.2738072872161865,Success
201,158,1.8831243515014648,Success
201,159,1.2237980365753174,Success
201,160,1.6558163166046143,Success
201,161,1.76710844039917,Success
201,162,1.86214280128479,Success
201,163,1.467841386795044,Success
201,164,1.183234453201294,Success
201,165,1.7779979705810547,Success
201,166,2.4431145191192627,Success
201,167,1.498835563659668,Success
201,168,1.5519354343414307,Success
201,169,1.4295365810394287,Success
201,170,1.6282448768615723,Success
201,171,2.32171368598938,Success
201,172,1.094205617904663,Success
201,173,0.8407914638519287,Success
201,174,1.029991626739502,Success
201,175,0.8661718368530273,Success
201,176,1.2785608768463135,Success
201,177,1.233640432357788,Success
201,178,1.1376910209655762,Success
201,179,1.1940734386444092,Success
201,180,1.0550909042358398,Success
201,181,1.3047816753387451,Success
201,182,1.662592887878418,Success
201,183,1.9028730392456055,Success
201,184,1.5191051959991455,Success
201,185,1.6412432193756104,Success
201,186,1.9297029972076416,Success
201,187,2.064077615737915,Success
201,188,1.8116955757141113,Success
201,189,2.1836612224578857,Success
201,190,1.5245261192321777,Success
201,191,1.5169811248779297,Success
201,192,1.2936875820159912,Success
201,193,1.3879077434539795,Success
201,194,1.4854118824005127,Success
201,195,0.8992810249328613,Success
