Filename,ProjectName,DocumentName,StartTime,EndTime,Duration,CPU Usage,Status
doc_001.pdf,Paket Pembangunan ke-1,Dokumen Kontrak Paket Pembangunan ke-1,2025-05-10 22:09:02.103182,2025-05-10 22:09:07.387878,0:00:05.284696,21.4,Success
doc_002.pdf,Paket Pembangunan ke-1,Laporan Bulanan Paket Pembangunan ke-1,2025-05-10 22:09:14.441387,2025-05-10 22:09:20.529526,0:00:06.088139,18.7,Success
doc_003.pdf,Paket Pembangunan ke-1,Gambar Rencana Paket Pembangunan ke-1,2025-05-10 22:09:27.654572,2025-05-10 22:09:31.592589,0:00:03.938017,20.4,Success
doc_004.pdf,Paket Pembangunan ke-2,Dokumen Kontrak Paket Pembangunan ke-2,2025-05-10 22:09:38.760476,2025-05-10 22:09:43.808802,0:00:05.048326,19.7,Success
doc_005.pdf,Paket Pembangunan ke-2,Laporan Bulanan Paket Pembangunan ke-2,2025-05-10 22:09:50.918950,2025-05-10 22:09:55.539542,0:00:04.620592,24.2,Success
doc_006.pdf,Paket Pembangunan ke-2,Gambar Rencana Paket Pembangunan ke-2,2025-05-10 22:10:02.587988,2025-05-10 22:10:07.444482,0:00:04.856494,24.1,Success
doc_007.pdf,Paket Pembangunan ke-3,Dokumen Kontrak Paket Pembangunan ke-3,2025-05-10 22:10:14.500522,2025-05-10 22:10:24.218916,0:00:09.718394,18.1,Success
doc_008.pdf,Paket Pembangunan ke-3,Laporan Bulanan Paket Pembangunan ke-3,2025-05-10 22:10:31.291561,2025-05-10 22:10:35.589236,0:00:04.297675,20.9,Success
doc_009.pdf,Paket Pembangunan ke-3,Gambar Rencana Paket Pembangunan ke-3,2025-05-10 22:10:42.716355,2025-05-10 22:10:46.498834,0:00:03.782479,26.2,Success
doc_010.pdf,Paket Pembangunan ke-4,Dokumen Kontrak Paket Pembangunan ke-4,2025-05-10 22:10:53.525517,2025-05-10 22:10:58.242142,0:00:04.716625,20.2,Success
doc_011.pdf,Paket Pembangunan ke-4,Laporan Bulanan Paket Pembangunan ke-4,2025-05-10 22:11:05.313647,2025-05-10 22:11:09.148987,0:00:03.835340,20.4,Success
doc_012.pdf,Paket Pembangunan ke-4,Gambar Rencana Paket Pembangunan ke-4,2025-05-10 22:11:16.207449,2025-05-10 22:11:24.496847,0:00:08.289398,18.6,Success
doc_013.pdf,Paket Pembangunan ke-5,Dokumen Kontrak Paket Pembangunan ke-5,2025-05-10 22:11:31.529815,2025-05-10 22:11:36.509230,0:00:04.979415,19.9,Success
doc_014.pdf,Paket Pembangunan ke-5,Laporan Bulanan Paket Pembangunan ke-5,2025-05-10 22:11:43.603780,2025-05-10 22:11:46.645331,0:00:03.041551,23.7,Success
